"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2023","1,818.60","1,818.00","1,828.70","1,813.40","208.29K","-0.08%"
"03/07/2023","1,820.00","1,852.60","1,856.90","1,817.10","248.23K","-1.87%"
"03/06/2023","1,854.60","1,861.00","1,864.30","1,850.60","136.22K","0.00%"
"03/03/2023","1,854.60","1,842.10","1,864.40","1,842.00","158.96K","0.77%"
"03/02/2023","1,840.50","1,843.80","1,845.30","1,835.90","139.76K","-0.27%"
"03/01/2023","1,845.40","1,834.00","1,852.50","1,829.60","182.58K","0.47%"
"02/28/2023","1,836.70","1,823.90","1,838.60","1,810.80","184.51K","0.65%"
"02/27/2023","1,824.90","1,818.00","1,827.30","1,812.00","130.43K","0.87%"
"02/24/2023","1,809.20","1,825.20","1,827.10","1,808.80","0.40K","-0.53%"
"02/23/2023","1,818.80","1,823.60","1,832.70","1,818.30","0.65K","-0.79%"
"02/22/2023","1,833.30","1,837.00","1,846.40","1,825.10","0.57K","-0.05%"
"02/21/2023","1,834.20","1,842.00","1,848.00","1,831.10","0.91K","-0.45%"
"02/20/2023","1,842.50","1,850.50","1,856.40","1,839.00","210.17K","0.03%"
"02/17/2023","1,842.00","1,835.50","1,844.60","1,819.80","0.73K","-0.08%"
"02/16/2023","1,843.40","1,838.90","1,846.00","1,828.30","0.65K","0.35%"
"02/15/2023","1,837.00","1,856.30","1,861.70","1,831.80","0.78K","-1.08%"
"02/14/2023","1,857.00","1,856.00","1,871.00","1,845.00","0.72K","0.10%"
"02/13/2023","1,855.10","1,866.70","1,868.50","1,852.70","0.83K","-0.58%"
"02/10/2023","1,865.90","1,864.70","1,873.30","1,855.00","0.77K","-0.22%"
"02/09/2023","1,870.00","1,879.00","1,893.70","1,862.00","0.85K","-0.65%"
"02/08/2023","1,882.20","1,877.40","1,890.00","1,874.00","1.03K","0.30%"
"02/07/2023","1,876.50","1,871.90","1,888.50","1,869.40","1.45K","0.28%"
"02/06/2023","1,871.20","1,866.70","1,885.40","1,865.90","1.59K","0.16%"
"02/03/2023","1,868.30","1,918.20","1,923.60","1,866.10","2.60K","-2.80%"
"02/02/2023","1,922.20","1,959.30","1,966.30","1,917.10","1.87K","-0.63%"
"02/01/2023","1,934.30","1,935.10","1,961.70","1,928.00","2.19K","-0.12%"
"01/31/2023","1,936.60","1,929.50","1,938.00","1,907.40","1.81K","0.33%"
"01/30/2023","1,930.20","1,936.20","1,940.80","1,927.30","2.80K","0.04%"
"01/27/2023","1,929.40","1,929.30","1,935.40","1,916.50","150.90K","-0.03%"
"01/26/2023","1,930.00","1,948.00","1,949.80","1,918.40","223.26K","-0.65%"
"01/25/2023","1,942.60","1,938.70","1,949.50","1,920.60","190.30K","0.37%"
"01/24/2023","1,935.40","1,932.00","1,943.80","1,918.20","201.71K","0.35%"
"01/23/2023","1,928.60","1,928.40","1,936.70","1,912.50","190.09K","0.02%"
"01/20/2023","1,928.20","1,933.70","1,939.00","1,922.00","165.27K","0.22%"
"01/19/2023","1,923.90","1,907.00","1,936.90","1,902.00","214.25K","0.89%"
"01/18/2023","1,907.00","1,911.10","1,929.80","1,898.60","218.97K","-0.15%"
"01/17/2023","1,909.90","1,923.80","1,931.80","1,906.20","268.37K","0.00%"
"01/16/2023","1,909.90","1,923.80","1,931.80","1,906.20","268.37K","-0.61%"
"01/13/2023","1,921.70","1,898.80","1,925.30","1,895.10","247.88K","1.21%"
"01/12/2023","1,898.80","1,879.70","1,906.50","1,872.40","265.17K","1.06%"
"01/11/2023","1,878.90","1,881.30","1,890.90","1,870.90","222.25K","0.13%"
"01/10/2023","1,876.50","1,875.70","1,885.20","1,872.00","170.51K","-0.07%"
"01/09/2023","1,877.80","1,872.80","1,886.40","1,869.30","204.55K","0.43%"
"01/06/2023","1,869.70","1,835.90","1,875.20","1,835.20","215.37K","1.58%"
"01/05/2023","1,840.60","1,861.20","1,864.30","1,829.90","188.60K","-0.99%"
"01/04/2023","1,859.00","1,845.20","1,871.30","1,842.00","198.35K","0.70%"
"01/03/2023","1,846.10","1,831.80","1,856.60","1,831.30","212.27K","1.09%"
"12/30/2022","1,826.20","1,821.80","1,832.40","1,819.80","107.50K","0.01%"
"12/29/2022","1,826.00","1,812.30","1,827.30","1,811.20","105.99K","0.95%"
"12/28/2022","1,808.80","1,812.40","1,812.40","1,801.30","0.43K","-0.41%"
"12/27/2022","1,816.30","1,799.70","1,834.10","1,799.70","0.22K","1.05%"
"12/23/2022","1,797.40","1,793.70","1,805.50","1,793.20","0.24K","0.50%"
"12/22/2022","1,788.50","1,818.00","1,822.00","1,787.10","0.41K","-1.65%"
"12/21/2022","1,818.50","1,821.60","1,825.40","1,815.90","0.16K","-0.01%"
"12/20/2022","1,818.60","1,796.40","1,824.30","1,789.60","0.51K","1.54%"
"12/19/2022","1,791.00","1,795.20","1,801.40","1,788.60","0.21K","-0.14%"
"12/16/2022","1,793.50","1,779.90","1,797.20","1,778.80","0.43K","0.72%"
"12/15/2022","1,780.60","1,811.80","1,812.10","1,775.00","0.69K","-1.71%"
"12/14/2022","1,811.50","1,815.10","1,817.10","1,800.00","0.28K","-0.37%"
"12/13/2022","1,818.30","1,785.80","1,829.00","1,785.00","0.57K","1.87%"
"12/12/2022","1,785.00","1,801.60","1,801.60","1,782.00","0.31K","-1.03%"
"12/09/2022","1,803.50","1,793.50","1,810.80","1,793.50","0.50K","0.52%"
"12/08/2022","1,794.20","1,792.50","1,799.00","1,786.70","0.56K","0.18%"
"12/07/2022","1,791.00","1,774.70","1,795.90","1,774.30","0.84K","0.87%"
"12/06/2022","1,775.50","1,775.30","1,786.00","1,772.50","0.55K","0.07%"
"12/05/2022","1,774.30","1,803.70","1,815.00","1,771.60","1.34K","-1.57%"
"12/02/2022","1,802.60","1,809.50","1,811.50","1,786.00","1.17K","-0.31%"
"12/01/2022","1,808.20","1,778.40","1,810.90","1,777.70","1.27K","3.14%"
"11/30/2022","1,753.20","1,755.50","1,776.70","1,751.80","1.56K","-0.18%"
"11/29/2022","1,756.30","1,747.60","1,765.00","1,746.00","1.59K","0.92%"
"11/28/2022","1,740.30","1,755.00","1,763.50","1,738.20","132.77K","-0.78%"
"11/25/2022","1,754.00","1,751.00","1,761.20","1,745.90","134.30K","0.00%"
"11/24/2022","1,754.00","1,751.00","1,761.20","1,745.90","134.30K","0.48%"
"11/23/2022","1,745.60","1,740.80","1,754.90","1,719.00","167.77K","0.33%"
"11/22/2022","1,739.90","1,739.70","1,751.00","1,737.60","153.09K","0.02%"
"11/21/2022","1,739.60","1,752.00","1,755.00","1,733.90","166.08K","-0.84%"
"11/18/2022","1,754.40","1,763.10","1,769.90","1,749.20","137.33K","-0.49%"
"11/17/2022","1,763.00","1,777.00","1,777.60","1,756.60","169.10K","-0.72%"
"11/16/2022","1,775.80","1,782.00","1,788.20","1,773.40","200.76K","-0.06%"
"11/15/2022","1,776.80","1,774.00","1,791.80","1,770.20","283.02K","-0.01%"
"11/14/2022","1,776.90","1,769.40","1,778.40","1,755.80","191.35K","0.42%"
"11/11/2022","1,769.40","1,758.30","1,775.60","1,750.30","227.04K","0.90%"
"11/10/2022","1,753.70","1,709.70","1,760.60","1,705.50","305.72K","2.33%"
"11/09/2022","1,713.70","1,715.20","1,725.80","1,705.10","239.65K","-0.13%"
"11/08/2022","1,716.00","1,678.00","1,720.40","1,667.10","297.62K","2.11%"
"11/07/2022","1,680.50","1,678.60","1,685.60","1,670.00","187.59K","0.23%"
"11/04/2022","1,676.60","1,631.70","1,686.40","1,631.10","293.52K","2.80%"
"11/03/2022","1,630.90","1,639.10","1,643.20","1,618.30","254.70K","-1.16%"
"11/02/2022","1,650.00","1,651.40","1,673.10","1,637.40","220.93K","0.02%"
"11/01/2022","1,649.70","1,636.10","1,660.30","1,633.60","197.98K","0.55%"
"10/31/2022","1,640.70","1,647.20","1,648.50","1,634.50","128.41K","-0.25%"
"10/28/2022","1,644.80","1,667.20","1,670.90","1,640.70","196.36K","-0.93%"
"10/27/2022","1,660.30","1,664.10","1,669.20","1,654.40","2.30K","-0.25%"
"10/26/2022","1,664.40","1,652.30","1,674.00","1,652.30","0.32K","0.67%"
"10/25/2022","1,653.30","1,649.60","1,660.50","1,637.00","0.59K","0.25%"
"10/24/2022","1,649.20","1,662.00","1,666.30","1,643.60","0.15K","-0.14%"
"10/21/2022","1,651.50","1,626.10","1,657.20","1,618.10","0.64K","1.21%"
"10/20/2022","1,631.80","1,628.90","1,644.30","1,621.20","0.50K","0.17%"
"10/19/2022","1,629.00","1,652.40","1,654.00","1,628.00","0.30K","-1.31%"
"10/18/2022","1,650.70","1,651.00","1,660.40","1,647.00","0.72K","-0.49%"
"10/17/2022","1,658.90","1,646.30","1,667.60","1,645.20","0.60K","0.92%"
"10/14/2022","1,643.70","1,665.60","1,672.10","1,640.80","0.64K","-1.68%"
"10/13/2022","1,671.80","1,675.30","1,680.00","1,644.50","0.32K","-0.03%"
"10/12/2022","1,672.30","1,668.30","1,679.60","1,663.00","0.23K","-0.51%"
"10/11/2022","1,680.90","1,670.20","1,686.00","1,665.00","0.74K","0.65%"
"10/10/2022","1,670.10","1,698.70","1,700.90","1,667.50","0.49K","-1.99%"
"10/07/2022","1,704.00","1,714.30","1,714.60","1,694.30","0.26K","-0.67%"
"10/06/2022","1,715.50","1,719.40","1,728.70","1,710.20","0.23K","-0.01%"
"10/05/2022","1,715.60","1,729.20","1,729.70","1,703.90","1.04K","-0.57%"
"10/04/2022","1,725.50","1,703.40","1,731.50","1,699.90","0.81K","1.67%"
"10/03/2022","1,697.20","1,667.90","1,704.00","1,664.40","0.64K","1.80%"
"09/30/2022","1,667.20","1,665.40","1,678.80","1,663.40","0.39K","0.22%"
"09/29/2022","1,663.60","1,662.20","1,667.50","1,644.50","2.39K","0.20%"
"09/28/2022","1,660.30","1,627.00","1,661.50","1,613.00","18.31K","2.08%"
"09/27/2022","1,626.50","1,621.50","1,640.20","1,620.90","15.91K","0.18%"
"09/26/2022","1,623.60","1,642.80","1,646.40","1,618.40","14.96K","-1.32%"
"09/23/2022","1,645.30","1,670.10","1,674.50","1,636.10","17.01K","-1.56%"
"09/22/2022","1,671.40","1,670.40","1,683.60","1,653.70","6.42K","0.34%"
"09/21/2022","1,665.80","1,664.60","1,687.00","1,651.50","10.10K","0.29%"
"09/20/2022","1,661.00","1,674.60","1,678.00","1,657.80","7.07K","-0.40%"
"09/19/2022","1,667.60","1,673.00","1,678.00","1,657.10","6.29K","-0.31%"
"09/16/2022","1,672.80","1,663.30","1,679.20","1,651.90","10.86K","0.36%"
"09/15/2022","1,666.80","1,696.80","1,696.80","1,658.70","12.32K","-1.85%"
"09/14/2022","1,698.20","1,702.50","1,706.80","1,692.80","7.08K","-0.52%"
"09/13/2022","1,707.10","1,725.80","1,732.80","1,696.90","11.55K","-1.37%"
"09/12/2022","1,730.80","1,719.20","1,736.40","1,712.70","5.71K","0.70%"
"09/09/2022","1,718.80","1,710.20","1,730.50","1,710.00","8.17K","0.48%"
"09/08/2022","1,710.60","1,720.30","1,729.30","1,704.40","5.09K","-0.44%"
"09/07/2022","1,718.20","1,703.20","1,721.40","1,692.50","7.51K","0.87%"
"09/06/2022","1,703.40","1,715.00","1,727.00","1,701.00","7.57K","-0.55%"
"09/05/2022","1,712.90","1,724.20","1,737.40","1,710.60","206.27K","-0.01%"
"09/02/2022","1,713.00","1,698.60","1,719.80","1,696.90","8.55K","0.79%"
"09/01/2022","1,699.60","1,713.10","1,713.10","1,689.80","11.25K","-1.01%"
